dni,supermercado,provincia,fecha_llegada,fecha_salida,total_compra
91030004Y,Carrefour,Malaga,09/01/2019 18:42,09/01/2019 19:46,125.58
97820096S,Lidl,Cadiz,09/01/2019 18:52,09/01/2019 21:29,112.53
21575322B,Mercadona,Granada,09/01/2019 22:16,09/01/2019 23:24,90.19
07136710V,Dia,Cadiz,09/01/2019 22:49,10/01/2019 01:19,142.66
25201338P,Mercadona,Malaga,09/01/2019 23:54,10/01/2019 01:05,147.02
97647240G,Dia,Sevilla,10/01/2019 08:02,10/01/2019 10:47,25.14
07657003G,Carrefour,Sevilla,10/01/2019 14:40,10/01/2019 17:00,56.69
54834500Q,Dia,Almeria,10/01/2019 16:24,10/01/2019 17:44,157.96
73699204M,Carrefour,Huelva,10/01/2019 21:58,10/01/2019 22:03,84.85
82867541J,Supersol,Huelva,11/01/2019 04:11,11/01/2019 07:05,44.32
75953200R,Mercadona,Cadiz,11/01/2019 04:58,11/01/2019 06:38,108.37
56284995Q,Supersol,Cadiz,11/01/2019 06:49,11/01/2019 09:05,169.28
89217507R,Dia,Malaga,11/01/2019 10:45,11/01/2019 13:38,120.70
32835082Y,Lidl,Cadiz,11/01/2019 14:13,11/01/2019 15:56,77.61
04341138A,Dia,Malaga,11/01/2019 15:32,11/01/2019 16:06,185.72
63283958X,Carrefour,Malaga,12/01/2019 01:12,12/01/2019 03:31,178.52
51933957A,Lidl,Cordoba,12/01/2019 07:03,12/01/2019 07:45,45.94
72611805T,Mas,Cordoba,12/01/2019 07:54,12/01/2019 09:02,111.72
74396482S,Supersol,Sevilla,12/01/2019 13:12,12/01/2019 13:57,170.85
35280428S,Aldi,Malaga,13/01/2019 00:28,13/01/2019 00:51,190.58
43280337H,Mas,Jaen,13/01/2019 10:31,13/01/2019 11:37,104.52
22621404F,Aldi,Almeria,13/01/2019 12:22,13/01/2019 14:12,193.71
40092186N,Mercadona,Almeria,13/01/2019 18:42,13/01/2019 19:40,27.69
57523457C,Dia,Almeria,13/01/2019 21:35,13/01/2019 22:26,21.25
69767354M,Mas,Malaga,14/01/2019 01:33,14/01/2019 04:00,27.54
96816973Z,Dia,Cadiz,14/01/2019 01:46,14/01/2019 03:46,48.15
85583540B,Supersol,Cadiz,14/01/2019 03:28,14/01/2019 05:37,127.34
41937393K,Mercadona,Malaga,14/01/2019 10:02,14/01/2019 11:24,102.09
35647283C,Mercadona,Jaen,14/01/2019 18:05,14/01/2019 18:29,199.16
83207095H,Carrefour,Almeria,15/01/2019 08:15,15/01/2019 11:02,120.25
87219759X,Aldi,Almeria,15/01/2019 11:44,15/01/2019 14:41,45.22
94320158X,Lidl,Granada,15/01/2019 16:09,15/01/2019 17:13,49.67
95962277K,Dia,Malaga,15/01/2019 17:13,15/01/2019 18:09,88.87
38373613E,Supersol,Malaga,15/01/2019 17:44,15/01/2019 20:36,186.59
17287078W,Carrefour,Malaga,16/01/2019 02:42,16/01/2019 05:41,126.32
20749746C,Dia,Cordoba,16/01/2019 02:52,16/01/2019 05:23,20.03
82334423N,Lidl,Huelva,16/01/2019 13:09,16/01/2019 15:42,116.72
66334271V,Mas,Malaga,16/01/2019 13:21,16/01/2019 15:13,6.64
32835082Y,Carrefour,Granada,16/01/2019 14:05,16/01/2019 16:14,183.63
66334271V,Dia,Almeria,16/01/2019 18:19,16/01/2019 18:21,170.06
86835115H,Dia,Malaga,17/01/2019 02:58,17/01/2019 04:11,16.30
29192757F,Dia,Almeria,17/01/2019 05:04,17/01/2019 07:57,49.31
52297228N,Lidl,Jaen,17/01/2019 05:49,17/01/2019 08:43,52.80
26100971L,Lidl,Malaga,17/01/2019 08:55,17/01/2019 10:36,198.89
09012314V,Lidl,Jaen,17/01/2019 15:47,17/01/2019 18:35,125.34
31044576G,Carrefour,Malaga,18/01/2019 05:46,18/01/2019 07:44,39.98
00064259C,Supersol,Granada,18/01/2019 09:45,18/01/2019 10:15,169.31
84612182N,Lidl,Granada,18/01/2019 21:16,18/01/2019 21:36,163.37
88066029H,Dia,Jaen,19/01/2019 00:22,19/01/2019 01:31,10.53
31284679X,Lidl,Malaga,19/01/2019 03:05,19/01/2019 04:10,126.31
86328458M,Supersol,Huelva,19/01/2019 06:26,19/01/2019 07:16,73.78
44124001L,Carrefour,Malaga,19/01/2019 06:31,19/01/2019 08:42,143.20
14765375L,Mas,Malaga,19/01/2019 12:54,19/01/2019 14:21,48.14
64236064P,Carrefour,Granada,20/01/2019 01:39,20/01/2019 03:14,67.51
67327775J,Mercadona,Malaga,20/01/2019 02:27,20/01/2019 02:39,182.69
61943751J,Carrefour,Almeria,20/01/2019 02:59,20/01/2019 05:55,144.68
38309193W,Mas,Jaen,20/01/2019 08:12,20/01/2019 10:54,27.35
23211792P,Supersol,Malaga,20/01/2019 09:31,20/01/2019 12:17,136.62
14840756Y,Dia,Sevilla,20/01/2019 18:59,20/01/2019 19:12,109.71
36543958V,Carrefour,Almeria,20/01/2019 20:44,20/01/2019 23:38,104.13
35406772C,Dia,Malaga,20/01/2019 22:46,20/01/2019 22:55,26.56
57456191Y,Aldi,Cadiz,21/01/2019 03:15,21/01/2019 06:08,75.31
99074860Z,Supersol,Malaga,21/01/2019 08:52,21/01/2019 11:50,78.19
72585732D,Aldi,Malaga,21/01/2019 13:28,21/01/2019 15:14,100.57
53555340R,Carrefour,Malaga,21/01/2019 17:22,21/01/2019 20:13,36.66
85583540B,Dia,Almeria,21/01/2019 18:12,21/01/2019 19:00,198.68
03446856F,Carrefour,Jaen,21/01/2019 19:01,21/01/2019 19:07,134.95
04341138A,Supersol,Malaga,21/01/2019 21:49,21/01/2019 22:35,151.37
45419661C,Carrefour,Cadiz,22/01/2019 13:21,22/01/2019 13:53,57.38
50731612Y,Supersol,Sevilla,22/01/2019 14:45,22/01/2019 15:40,185.77
79707751D,Mercadona,Almeria,22/01/2019 18:16,22/01/2019 18:30,65.37
90198216J,Lidl,Jaen,22/01/2019 18:19,22/01/2019 18:58,88.49
85609885K,Supersol,Almeria,22/01/2019 19:18,22/01/2019 20:33,166.25
74109346B,Mercadona,Malaga,22/01/2019 23:51,23/01/2019 02:38,39.38
47241165Q,Carrefour,Almeria,23/01/2019 04:58,23/01/2019 07:11,33.64
36543958V,Aldi,Cadiz,23/01/2019 08:57,23/01/2019 10:30,33.20
53555340R,Supersol,Almeria,23/01/2019 10:09,23/01/2019 12:30,13.89
04531205K,Mas,Sevilla,23/01/2019 20:16,23/01/2019 20:23,157.65
90963150J,Aldi,Jaen,24/01/2019 07:10,24/01/2019 09:12,87.09
26617157Q,Dia,Malaga,24/01/2019 21:53,24/01/2019 23:32,79.26
88066029H,Mercadona,Granada,25/01/2019 00:05,25/01/2019 02:59,171.04
70647427Y,Lidl,Malaga,25/01/2019 00:44,25/01/2019 01:11,139.57
73138355B,Carrefour,Huelva,25/01/2019 13:02,25/01/2019 13:07,188.10
15893816B,Mas,Sevilla,26/01/2019 07:30,26/01/2019 10:02,161.07
19371098S,Mercadona,Malaga,26/01/2019 08:22,26/01/2019 08:58,7.99
85609885K,Dia,Sevilla,26/01/2019 11:30,26/01/2019 13:26,36.38
36987832Z,Supersol,Malaga,26/01/2019 16:10,26/01/2019 18:22,99.50
67125389G,Aldi,Cordoba,26/01/2019 16:11,26/01/2019 18:56,154.95
20385830X,Mas,Almeria,26/01/2019 17:21,26/01/2019 17:25,148.95
95213906R,Aldi,Malaga,26/01/2019 23:59,27/01/2019 02:05,185.86
66247259Z,Lidl,Cordoba,27/01/2019 01:13,27/01/2019 02:28,83.96
39278848T,Supersol,Almeria,27/01/2019 02:15,27/01/2019 05:09,45.59
90963150J,Lidl,Sevilla,27/01/2019 05:45,27/01/2019 06:31,179.05
64236064P,Mas,Almeria,27/01/2019 05:45,27/01/2019 07:56,161.80
25036910F,Dia,Huelva,27/01/2019 21:45,27/01/2019 23:53,118.22
03446856F,Mercadona,Malaga,28/01/2019 09:44,28/01/2019 10:44,192.88
28487568K,Carrefour,Malaga,28/01/2019 09:45,28/01/2019 10:46,195.14
14716387K,Supersol,Sevilla,28/01/2019 20:27,28/01/2019 22:02,33.05
21575322B,Aldi,Granada,28/01/2019 23:21,29/01/2019 00:10,20.23
20857473S,Mas,Huelva,29/01/2019 00:38,29/01/2019 02:55,18.43
82733528K,Dia,Cadiz,29/01/2019 07:07,29/01/2019 08:21,97.87
29436667W,Lidl,Jaen,29/01/2019 11:14,29/01/2019 13:02,67.77
63283958X,Dia,Cordoba,29/01/2019 12:16,29/01/2019 14:53,50.73
68852479R,Lidl,Sevilla,29/01/2019 13:14,29/01/2019 13:16,169.63
06903946J,Supersol,Almeria,30/01/2019 03:22,30/01/2019 04:02,82.82
49861960F,Mas,Cordoba,30/01/2019 15:54,30/01/2019 16:41,63.42
92400251M,Dia,Sevilla,30/01/2019 20:24,30/01/2019 21:37,12.65
34122968F,Mercadona,Jaen,30/01/2019 20:41,30/01/2019 21:01,132.90
49861960F,Mas,Sevilla,31/01/2019 03:45,31/01/2019 03:59,143.01
89165507G,Aldi,Granada,31/01/2019 04:41,31/01/2019 05:34,184.44
07832939J,Mercadona,Huelva,31/01/2019 07:24,31/01/2019 09:03,86.04
54445204H,Mas,Malaga,31/01/2019 11:06,31/01/2019 12:34,150.89
15112574X,Supersol,Granada,31/01/2019 11:16,31/01/2019 11:21,50.70
43988060P,Mas,Sevilla,31/01/2019 15:03,31/01/2019 16:52,151.24
64270646K,Mas,Jaen,31/01/2019 20:25,31/01/2019 20:44,106.82
06873834P,Lidl,Cadiz,01/02/2019 02:21,01/02/2019 05:10,16.40
90198216J,Mas,Cadiz,01/02/2019 07:37,01/02/2019 08:38,121.46
86328458M,Aldi,Granada,01/02/2019 18:32,01/02/2019 21:25,183.64
34727059A,Carrefour,Malaga,02/02/2019 00:16,02/02/2019 00:29,19.54
36543958V,Mas,Granada,02/02/2019 13:55,02/02/2019 16:27,18.49
29192757F,Aldi,Cordoba,02/02/2019 20:29,02/02/2019 20:35,134.10
06286245T,Aldi,Jaen,03/02/2019 01:35,03/02/2019 03:06,24.74
46993759K,Mercadona,Jaen,03/02/2019 03:10,03/02/2019 05:08,94.92
29608161P,Supersol,Huelva,03/02/2019 07:14,03/02/2019 07:36,108.03
69153976Z,Lidl,Huelva,03/02/2019 11:12,03/02/2019 14:01,108.44
28487568K,Supersol,Granada,03/02/2019 15:47,03/02/2019 18:16,27.56
02866418C,Lidl,Cordoba,03/02/2019 21:13,03/02/2019 22:45,175.81
24456217H,Mas,Granada,03/02/2019 21:48,03/02/2019 22:31,161.10
40092186N,Supersol,Almeria,04/02/2019 03:10,04/02/2019 03:16,24.29
54445204H,Mas,Granada,04/02/2019 05:45,04/02/2019 07:47,143.89
10095030P,Dia,Granada,04/02/2019 07:20,04/02/2019 09:17,18.92
96438661Y,Dia,Huelva,04/02/2019 21:01,04/02/2019 23:37,70.97
40961226C,Aldi,Cadiz,04/02/2019 21:16,04/02/2019 21:32,194.05
60438858X,Mercadona,Jaen,05/02/2019 03:32,05/02/2019 05:12,178.60
31835853N,Lidl,Jaen,05/02/2019 07:19,05/02/2019 10:16,77.71
71312519F,Mas,Huelva,05/02/2019 17:07,05/02/2019 17:10,161.32
20575725V,Dia,Jaen,05/02/2019 18:31,05/02/2019 18:54,54.94
50472032G,Mas,Jaen,05/02/2019 19:20,05/02/2019 20:39,100.19
80459724C,Carrefour,Huelva,05/02/2019 20:12,05/02/2019 21:50,164.43
86672846Z,Mercadona,Almeria,05/02/2019 22:40,06/02/2019 01:06,138.88
30869274P,Dia,Huelva,05/02/2019 23:13,06/02/2019 02:00,12.44
96429150V,Mas,Malaga,06/02/2019 00:47,06/02/2019 03:13,165.33
38465415P,Supersol,Jaen,06/02/2019 02:14,06/02/2019 02:14,9.66
38465415P,Dia,Jaen,06/02/2019 10:04,06/02/2019 10:57,101.11
00064259C,Supersol,Malaga,06/02/2019 16:18,06/02/2019 18:52,31.43
85685230H,Supersol,Cadiz,06/02/2019 23:43,07/02/2019 01:47,166.65
62973732P,Aldi,Cordoba,07/02/2019 00:02,07/02/2019 02:01,137.28
97647240G,Lidl,Granada,07/02/2019 02:48,07/02/2019 03:17,168.05
35280428S,Dia,Malaga,07/02/2019 05:15,07/02/2019 07:15,92.14
93164304K,Lidl,Huelva,07/02/2019 07:00,07/02/2019 07:49,56.78
00453082M,Supersol,Cadiz,07/02/2019 10:37,07/02/2019 11:10,106.72
72585732D,Mas,Sevilla,07/02/2019 11:16,07/02/2019 12:17,148.70
62601881K,Mercadona,Jaen,07/02/2019 16:20,07/02/2019 17:54,47.92
88198438Q,Mas,Jaen,07/02/2019 16:22,07/02/2019 17:44,191.65
22051232M,Carrefour,Malaga,07/02/2019 18:58,07/02/2019 21:33,114.78
88923302N,Dia,Malaga,07/02/2019 19:39,07/02/2019 21:34,52.50
83701908D,Dia,Jaen,07/02/2019 19:44,07/02/2019 20:52,167.58
97331408P,Lidl,Sevilla,07/02/2019 21:20,07/02/2019 21:43,122.45
73138355B,Mercadona,Cordoba,07/02/2019 23:45,08/02/2019 01:16,67.94
69676491S,Supersol,Sevilla,08/02/2019 03:32,08/02/2019 04:19,90.29
71312519F,Supersol,Granada,08/02/2019 05:25,08/02/2019 07:25,180.49
96010371E,Supersol,Malaga,08/02/2019 07:24,08/02/2019 08:16,97.35
88366171X,Aldi,Cadiz,08/02/2019 08:54,08/02/2019 09:05,125.92
62601881K,Lidl,Cadiz,08/02/2019 13:25,08/02/2019 13:41,193.38
33625036W,Mercadona,Sevilla,08/02/2019 14:25,08/02/2019 14:47,9.70
62745110Y,Aldi,Jaen,08/02/2019 14:46,08/02/2019 17:45,58.00
70405101P,Supersol,Malaga,08/02/2019 23:49,09/02/2019 02:28,69.98
06875131V,Dia,Almeria,09/02/2019 00:31,09/02/2019 00:44,23.01
85915274Q,Aldi,Almeria,09/02/2019 03:15,09/02/2019 05:41,43.87
17349625N,Mas,Sevilla,09/02/2019 06:31,09/02/2019 06:44,176.97
22369448Q,Lidl,Granada,09/02/2019 09:36,09/02/2019 12:00,198.29
43280337H,Mas,Jaen,09/02/2019 11:21,09/02/2019 13:10,144.57
23211792P,Lidl,Sevilla,09/02/2019 11:40,09/02/2019 14:08,32.63
86328458M,Dia,Malaga,09/02/2019 13:59,09/02/2019 16:45,94.48
97548385A,Dia,Sevilla,09/02/2019 17:37,09/02/2019 18:07,82.04
99100335M,Dia,Cordoba,09/02/2019 18:35,09/02/2019 20:12,164.40
07832939J,Aldi,Granada,09/02/2019 21:25,09/02/2019 22:39,27.80
68573730N,Dia,Granada,09/02/2019 22:32,09/02/2019 22:50,160.41
47504932L,Dia,Almeria,10/02/2019 01:06,10/02/2019 03:49,150.44
84644396A,Supersol,Granada,10/02/2019 02:07,10/02/2019 04:05,86.80
31541431J,Mas,Huelva,10/02/2019 02:15,10/02/2019 04:24,75.70
18905644N,Lidl,Almeria,10/02/2019 06:03,10/02/2019 07:17,30.13
47675178L,Dia,Malaga,10/02/2019 13:44,10/02/2019 16:12,38.11
45419661C,Aldi,Granada,10/02/2019 17:39,10/02/2019 18:54,117.51
42068364F,Lidl,Cordoba,10/02/2019 18:09,10/02/2019 21:08,53.09
40961226C,Aldi,Sevilla,10/02/2019 18:22,10/02/2019 19:12,18.94
87298914E,Lidl,Malaga,10/02/2019 23:49,11/02/2019 01:41,184.28
53016835H,Lidl,Cadiz,11/02/2019 00:04,11/02/2019 00:59,105.00
00979137G,Aldi,Malaga,11/02/2019 00:41,11/02/2019 02:14,23.23
21725320A,Mercadona,Sevilla,11/02/2019 05:39,11/02/2019 05:48,61.23
19371098S,Supersol,Huelva,11/02/2019 08:34,11/02/2019 10:46,70.05
32311916K,Aldi,Cadiz,11/02/2019 09:58,11/02/2019 10:23,165.35
96399047K,Supersol,Almeria,11/02/2019 10:53,11/02/2019 11:59,160.04
31044576G,Carrefour,Sevilla,11/02/2019 11:26,11/02/2019 13:15,58.97
74893962M,Mas,Jaen,11/02/2019 13:10,11/02/2019 15:40,195.62
83207095H,Carrefour,Jaen,11/02/2019 14:35,11/02/2019 16:08,166.62
74648587V,Mercadona,Almeria,11/02/2019 15:30,11/02/2019 17:48,150.10
38365814C,Supersol,Sevilla,11/02/2019 15:59,11/02/2019 18:58,134.59
15112574X,Lidl,Huelva,11/02/2019 18:18,11/02/2019 19:56,9.43
74396482S,Aldi,Malaga,11/02/2019 20:40,11/02/2019 23:23,147.64
82867541J,Supersol,Malaga,11/02/2019 23:41,12/02/2019 01:18,158.11
08113702S,Mercadona,Granada,12/02/2019 01:50,12/02/2019 04:26,113.51
74608293L,Aldi,Huelva,12/02/2019 08:26,12/02/2019 11:11,60.49
88994494L,Dia,Sevilla,12/02/2019 11:50,12/02/2019 14:31,32.01
99759124M,Carrefour,Malaga,12/02/2019 15:33,12/02/2019 17:05,11.17
73699204M,Mercadona,Huelva,12/02/2019 16:24,12/02/2019 16:51,198.82
06286245T,Mas,Malaga,12/02/2019 16:46,12/02/2019 19:32,119.96
17287078W,Lidl,Malaga,12/02/2019 18:21,12/02/2019 18:51,75.61
77345797V,Supersol,Cordoba,12/02/2019 18:49,12/02/2019 20:26,129.35
92857435H,Aldi,Malaga,13/02/2019 02:50,13/02/2019 03:24,32.50
53493532V,Supersol,Almeria,13/02/2019 05:21,13/02/2019 06:47,161.80
94128682D,Lidl,Huelva,13/02/2019 05:24,13/02/2019 05:49,129.90
95962277K,Aldi,Malaga,13/02/2019 06:49,13/02/2019 08:13,55.86
04885246T,Mercadona,Almeria,13/02/2019 08:58,13/02/2019 11:34,62.07
46789450K,Carrefour,Jaen,13/02/2019 09:21,13/02/2019 11:19,176.74
88676745S,Mas,Jaen,13/02/2019 10:38,13/02/2019 12:42,4.76
99687267T,Supersol,Cordoba,13/02/2019 21:06,13/02/2019 23:58,106.52
87219759X,Mercadona,Almeria,14/02/2019 00:11,14/02/2019 01:51,16.84
48728111N,Dia,Jaen,14/02/2019 02:35,14/02/2019 04:37,78.86
47314736X,Lidl,Cadiz,14/02/2019 06:13,14/02/2019 09:07,159.90
42679297Z,Carrefour,Jaen,14/02/2019 13:17,14/02/2019 15:02,80.78
68852479R,Mas,Malaga,14/02/2019 15:01,14/02/2019 16:43,86.36
47687051R,Lidl,Cordoba,14/02/2019 16:33,14/02/2019 19:22,35.98
35406772C,Supersol,Huelva,14/02/2019 19:24,14/02/2019 20:18,132.62
28092397J,Mercadona,Granada,14/02/2019 23:30,15/02/2019 00:05,62.03
06903946J,Aldi,Cadiz,15/02/2019 01:16,15/02/2019 01:28,185.56
28092397J,Dia,Malaga,15/02/2019 03:28,15/02/2019 06:25,68.52
13811493Q,Aldi,Huelva,15/02/2019 05:21,15/02/2019 06:31,1.32
96501703M,Mercadona,Cadiz,15/02/2019 09:55,15/02/2019 11:18,123.16
66334271V,Mas,Cadiz,15/02/2019 11:45,15/02/2019 14:34,185.66
39893144N,Carrefour,Malaga,15/02/2019 16:19,15/02/2019 17:22,9.34
64236064P,Mercadona,Huelva,15/02/2019 22:11,16/02/2019 00:42,132.50
67125389G,Mas,Huelva,15/02/2019 23:27,15/02/2019 23:44,162.13
08839907H,Dia,Almeria,16/02/2019 03:40,16/02/2019 04:26,131.64
05896072E,Carrefour,Jaen,16/02/2019 23:55,17/02/2019 01:32,84.27
74648587V,Supersol,Huelva,17/02/2019 01:00,17/02/2019 02:40,145.31
91755362J,Mas,Cadiz,17/02/2019 03:03,17/02/2019 04:29,122.00
91030004Y,Mas,Cadiz,17/02/2019 11:01,17/02/2019 13:49,136.27
92098047K,Supersol,Granada,17/02/2019 12:31,17/02/2019 13:19,107.68
47241165Q,Dia,Jaen,17/02/2019 13:12,17/02/2019 14:39,103.57
15105765D,Mas,Malaga,17/02/2019 19:39,17/02/2019 20:41,116.08
07136710V,Aldi,Huelva,17/02/2019 23:04,18/02/2019 00:06,117.56
96816973Z,Carrefour,Malaga,18/02/2019 12:47,18/02/2019 13:00,50.36
81706406X,Supersol,Granada,18/02/2019 15:24,18/02/2019 18:15,128.95
04531205K,Lidl,Cordoba,18/02/2019 15:45,18/02/2019 18:11,59.41
22721234V,Supersol,Jaen,18/02/2019 21:32,18/02/2019 21:53,177.22
73560073R,Mas,Cadiz,18/02/2019 23:39,19/02/2019 00:50,179.75
79821136G,Lidl,Huelva,18/02/2019 23:58,19/02/2019 01:36,171.21
30510524N,Mas,Sevilla,19/02/2019 00:07,19/02/2019 00:40,113.37
99612009K,Mas,Malaga,19/02/2019 00:27,19/02/2019 01:26,106.99
58326990W,Aldi,Malaga,19/02/2019 11:19,19/02/2019 12:10,144.50
38613809Y,Carrefour,Huelva,19/02/2019 19:27,19/02/2019 21:01,180.12
24877559T,Mas,Cordoba,19/02/2019 21:52,19/02/2019 22:18,148.00
22369448Q,Aldi,Huelva,19/02/2019 22:33,19/02/2019 22:57,14.71
08839907H,Mercadona,Malaga,20/02/2019 04:33,20/02/2019 07:13,78.52
46624158F,Supersol,Huelva,20/02/2019 11:49,20/02/2019 13:05,133.60
68994709E,Aldi,Jaen,20/02/2019 18:01,20/02/2019 19:32,70.12
99612009K,Carrefour,Huelva,21/02/2019 15:44,21/02/2019 17:09,76.14
23211792P,Aldi,Jaen,21/02/2019 19:26,21/02/2019 19:46,67.28
67660077B,Lidl,Almeria,22/02/2019 00:23,22/02/2019 01:55,24.64
09223452S,Dia,Huelva,22/02/2019 01:24,22/02/2019 03:37,142.74
31541431J,Aldi,Sevilla,22/02/2019 02:10,22/02/2019 02:41,88.80
28487568K,Mercadona,Jaen,22/02/2019 02:49,22/02/2019 03:20,73.78
47504932L,Lidl,Huelva,22/02/2019 06:52,22/02/2019 09:03,174.28
10070796Q,Lidl,Cadiz,22/02/2019 07:48,22/02/2019 10:10,28.03
41937393K,Mas,Sevilla,22/02/2019 08:54,22/02/2019 09:53,60.82
28487568K,Aldi,Cordoba,22/02/2019 09:04,22/02/2019 11:02,16.29
64236064P,Aldi,Cadiz,22/02/2019 10:44,22/02/2019 13:31,27.40
21708733E,Lidl,Huelva,22/02/2019 12:33,22/02/2019 15:30,160.34
05637534G,Mas,Jaen,22/02/2019 12:43,22/02/2019 14:31,107.00
60132584G,Dia,Granada,22/02/2019 16:59,22/02/2019 18:03,142.71
92168730W,Dia,Malaga,23/02/2019 02:54,23/02/2019 04:44,131.75
00453082M,Supersol,Cadiz,23/02/2019 07:56,23/02/2019 09:19,85.68
65667384S,Mercadona,Huelva,23/02/2019 10:55,23/02/2019 11:10,132.63
37766627Y,Mercadona,Malaga,23/02/2019 12:09,23/02/2019 13:34,20.35
74893962M,Mercadona,Jaen,23/02/2019 12:52,23/02/2019 12:52,131.77
40794181R,Mas,Malaga,23/02/2019 13:06,23/02/2019 15:56,113.99
79821136G,Carrefour,Jaen,23/02/2019 18:51,23/02/2019 21:48,156.35
29436667W,Aldi,Sevilla,23/02/2019 22:44,23/02/2019 23:06,181.93
72783203W,Carrefour,Malaga,24/02/2019 02:07,24/02/2019 04:45,163.47
40961226C,Mercadona,Cadiz,24/02/2019 05:33,24/02/2019 05:57,8.65
86302030G,Mercadona,Malaga,24/02/2019 10:01,24/02/2019 10:34,188.65
37089432T,Mas,Granada,24/02/2019 10:09,24/02/2019 12:56,60.43
97785005E,Mercadona,Malaga,24/02/2019 13:58,24/02/2019 15:48,17.43
43280337H,Mas,Sevilla,24/02/2019 23:48,25/02/2019 02:21,77.54
53016835H,Supersol,Jaen,25/02/2019 01:19,25/02/2019 04:07,109.69
32835082Y,Carrefour,Cordoba,25/02/2019 03:07,25/02/2019 06:01,23.07
60438858X,Lidl,Malaga,25/02/2019 03:44,25/02/2019 05:32,13.42
